"Site","Name","Last Logon","OperatingSystem","DistinguishedName"
"MHHS","MHHS-630-828005","5/17/2017 12:47:00 PM","Windows 10 Enterprise","CN=MHHS-630-828005,OU=Classroom's,OU=PCs,OU=Systems,OU=MHHS,OU=SMUSD,DC=smusd,DC=local"
"MHHS","MHHS-705-70876","6/6/2017 8:56:09 AM","Windows 7 Enterprise","CN=MHHS-705-70876,OU=Classroom's,OU=PCs,OU=Systems,OU=MHHS,OU=SMUSD,DC=smusd,DC=local"
"MHHS","MHHS-705-70887","5/8/2017 9:11:28 AM","Windows 7 Enterprise","CN=MHHS-705-70887,OU=Classroom's,OU=PCs,OU=Systems,OU=MHHS,OU=SMUSD,DC=smusd,DC=local"
"MHHS","MHHS-705-70894","5/8/2017 9:10:56 AM","Windows 7 Enterprise","CN=MHHS-705-70894,OU=Classroom's,OU=PCs,OU=Systems,OU=MHHS,OU=SMUSD,DC=smusd,DC=local"
"MHHS","MHHS-705-72537","4/24/2017 8:30:38 AM","Windows 7 Enterprise","CN=MHHS-705-72537,OU=Classroom's,OU=PCs,OU=Systems,OU=MHHS,OU=SMUSD,DC=smusd,DC=local"
"MHHS","MHHS-810-719748","11/30/2016 1:15:30 PM","Windows 7 Enterprise","CN=MHHS-810-719748,OU=Classroom's,OU=PCs,OU=Systems,OU=MHHS,OU=SMUSD,DC=smusd,DC=local"
"MHHS","MHHS-860-818344","6/12/2017 1:33:56 PM","Windows 7 Enterprise","CN=MHHS-860-818344,OU=Pod's,OU=Classroom's,OU=PCs,OU=Systems,OU=MHHS,OU=SMUSD,DC=smusd,DC=local"
"MHHS","MHHS-LT-803219","8/18/2017 7:30:52 AM","Windows 7 Enterprise","CN=MHHS-LT-803219,OU=Teacher's,OU=Laptops,OU=Systems,OU=MHHS,OU=SMUSD,DC=smusd,DC=local"
"MHHS","MHHS-MDT-TEST","2/21/2017 2:56:31 PM","Windows 10 Enterprise","CN=MHHS-MDT-TEST,OU=PCs,OU=Systems,OU=MHHS,OU=SMUSD,DC=smusd,DC=local"
"MHHS","MHHS-POD-800002","6/8/2017 10:26:04 AM","Windows 7 Enterprise","CN=MHHS-POD-800002,OU=Pod's,OU=Classroom's,OU=PCs,OU=Systems,OU=MHHS,OU=SMUSD,DC=smusd,DC=local"
"MHHS","MHHS-POD-800003","6/15/2017 10:30:37 AM","Windows 7 Enterprise","CN=MHHS-POD-800003,OU=Pod's,OU=Classroom's,OU=PCs,OU=Systems,OU=MHHS,OU=SMUSD,DC=smusd,DC=local"
"MHHS","MHHS-POD-800004","6/1/2017 9:30:09 PM","Windows 7 Enterprise","CN=MHHS-POD-800004,OU=Pod's,OU=Classroom's,OU=PCs,OU=Systems,OU=MHHS,OU=SMUSD,DC=smusd,DC=local"
"MHHS","MHHS-POD-800005","6/12/2017 7:59:17 AM","Windows 7 Enterprise","CN=MHHS-POD-800005,OU=Pod's,OU=Classroom's,OU=PCs,OU=Systems,OU=MHHS,OU=SMUSD,DC=smusd,DC=local"
"MHHS","MHHS-POD-800006","6/1/2017 6:56:58 AM","Windows 7 Enterprise","CN=MHHS-POD-800006,OU=Pod's,OU=Classroom's,OU=PCs,OU=Systems,OU=MHHS,OU=SMUSD,DC=smusd,DC=local"
"MHHS","MHHS-POD-806853","9/23/2016 11:31:46 AM","Windows 7 Enterprise","CN=MHHS-POD-806853,OU=Pod's,OU=Classroom's,OU=PCs,OU=Systems,OU=MHHS,OU=SMUSD,DC=smusd,DC=local"
"MHHS","MHHS-ST-814062","10/31/2016 9:04:05 AM","Windows 7 Enterprise","CN=MHHS-ST-814062,OU=Classroom's,OU=PCs,OU=Systems,OU=MHHS,OU=SMUSD,DC=smusd,DC=local"
"MultiSite","LCMES-D-802041","5/22/2017 11:08:17 AM","Windows 7 Enterprise","CN=LCMES-D-802041,OU=Systems,OU=MultiSite,OU=SMUSD,DC=smusd,DC=local"
"MultiSite","SMUSD-LT-801604","6/15/2017 8:35:02 AM","Windows 7 Enterprise","CN=SMUSD-LT-801604,OU=Nurses,OU=Systems,OU=MultiSite,OU=SMUSD,DC=smusd,DC=local"
"MultiSite","TOHS-GK801606L","9/28/2016 1:23:50 PM","Windows 7 Enterprise","CN=TOHS-GK801606L,OU=Nurses,OU=Systems,OU=MultiSite,OU=SMUSD,DC=smusd,DC=local"
"MultiSite","TOHS-NRS-805460","1/4/2017 9:07:15 AM","Windows 7 Enterprise","CN=TOHS-NRS-805460,OU=Nurses,OU=Systems,OU=MultiSite,OU=SMUSD,DC=smusd,DC=local"
"PAL","PAL-03-EEPC","10/6/2016 8:29:42 AM","Windows 7 Enterprise","CN=PAL-03-EEPC,OU=Teachers_Staff,OU=Laptops,OU=Systems,OU=PAL,OU=SMUSD,DC=smusd,DC=local"
"PAL","PAL-04-814741","7/11/2017 8:52:20 AM","Windows 7 Enterprise","CN=PAL-04-814741,OU=Teacher Comps,OU=PCs,OU=Systems,OU=PAL,OU=SMUSD,DC=smusd,DC=local"
"PAL","PAL-09-803775","6/5/2017 8:57:40 AM","Windows 7 Enterprise","CN=PAL-09-803775,OU=PalLab,OU=Laptops,OU=Systems,OU=PAL,OU=SMUSD,DC=smusd,DC=local"
"PAL","PAL-09-813800","7/11/2017 11:25:47 AM","Windows 7 Enterprise","CN=PAL-09-813800,OU=Teacher Comps,OU=PCs,OU=Systems,OU=PAL,OU=SMUSD,DC=smusd,DC=local"
"PAL","PAL-10-803780","6/19/2017 9:20:43 AM","Windows 7 Enterprise","CN=PAL-10-803780,OU=PalLab,OU=Laptops,OU=Systems,OU=PAL,OU=SMUSD,DC=smusd,DC=local"
"PAL","PAL-11-803773","6/5/2017 11:43:32 AM","Windows 7 Enterprise","CN=PAL-11-803773,OU=PalLab,OU=Laptops,OU=Systems,OU=PAL,OU=SMUSD,DC=smusd,DC=local"
"PAL","PAL-11-814747","8/15/2017 5:41:28 PM","Windows 10 Enterprise","CN=PAL-11-814747,OU=Room11,OU=Students,OU=PCs,OU=Systems,OU=PAL,OU=SMUSD,DC=smusd,DC=local"
"PAL","PAL-13-803792","6/5/2017 8:57:14 AM","Windows 7 Enterprise","CN=PAL-13-803792,OU=PalLab,OU=Laptops,OU=Systems,OU=PAL,OU=SMUSD,DC=smusd,DC=local"
"PAL","PAL-13-804024","7/11/2017 10:37:57 AM","Windows 7 Enterprise","CN=PAL-13-804024,OU=Teacher Comps,OU=PCs,OU=Systems,OU=PAL,OU=SMUSD,DC=smusd,DC=local"
"PAL","PAL-14-803785","6/5/2017 8:55:03 AM","Windows 7 Enterprise","CN=PAL-14-803785,OU=PalLab,OU=Laptops,OU=Systems,OU=PAL,OU=SMUSD,DC=smusd,DC=local"
"PAL","PAL-15-803777","6/5/2017 8:56:08 AM","Windows 7 Enterprise","CN=PAL-15-803777,OU=PalLab,OU=Laptops,OU=Systems,OU=PAL,OU=SMUSD,DC=smusd,DC=local"
"PAL","PAL-16-803741","6/5/2017 8:55:58 AM","Windows 7 Enterprise","CN=PAL-16-803741,OU=PalLab,OU=Laptops,OU=Systems,OU=PAL,OU=SMUSD,DC=smusd,DC=local"
"PAL","PAL-17-803796","10/28/2016 11:35:57 AM","Windows 7 Enterprise","CN=PAL-17-803796,OU=PalLab,OU=Laptops,OU=Systems,OU=PAL,OU=SMUSD,DC=smusd,DC=local"
